intertidal_sitename,filename_prefix,intertidal_sort_order,latitude,longitude,biodiversity_site_code,GroupCode,MARINe_site_code,intertidal_geographic_region,intertidal_bioregion,SampleSeason,SamplingSeasonCode,TargetSpecies,graph_classification,quad_category,graph_sort,Sum(count),number_of_plots,mean_number_per_plot
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Cyanoplax spp,chitons,2,3,5,0.6
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Limpet,limpets,5,2412.5,5,482.5
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Littorina spp,snails,3,850,5,170
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Pagurus spp,crustaceans,1,13,5,2.6
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,118,SU10,fucus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Cyanoplax spp,chitons,2,0,5,0
